arise_amount,arise_percentage,code,delta_amount,delta_percentage,last_close,name,time,today_max,today_min,today_now,today_open,volume_amount,volume_times
0.0,0.0,000416.SZ,0.00,0.00,2.14,*ST民控,2023-11-22 09:47,2.15,2.13,2.14,2.14,1860463.0,8694
-0.009999999999999787,-0.0023980815347721313,000428.SZ,0.04,0.96,4.17,华天酒店,2023-11-22 09:47,4.21,4.14,4.21,4.16,11113778.98,26527
-0.020000000000000018,-0.011976047904191628,000620.SZ,-0.02,-1.20,1.67,*ST新联,2023-11-22 09:47,1.67,1.64,1.65,1.65,8894554.0,53902
-0.040000000000000036,-0.005305039787798413,000686.SZ,-0.02,-0.27,7.54,东北证券,2023-11-22 09:47,7.57,7.48,7.52,7.50,27649497.0,36740
-0.009999999999999787,-0.003236245954692488,000608.SZ,0.06,1.94,3.09,阳光股份,2023-11-22 09:46,3.19,3.08,3.15,3.08,14484322.0,46069
-0.009999999999999787,-0.0015503875968991916,000589.SZ,0.00,0.00,6.45,贵州轮胎,2023-11-22 09:46,6.46,6.42,6.45,6.44,9200051.0,14274
-0.1299999999999999,-0.017520215633423167,000541.SZ,-0.03,-0.40,7.42,佛山照明,2023-11-22 09:47,7.41,7.23,7.39,7.29,41116679.17,56124
0.0,0.0,000639.SZ,0.03,0.68,4.40,西王食品,2023-11-22 09:46,4.44,4.40,4.43,4.40,8986586.0,20333
-0.08999999999999986,-0.008563273073263546,000050.SZ,0.02,0.19,10.51,深天马Ａ,2023-11-22 09:47,10.57,10.42,10.53,10.42,13714154.0,13028
0.0,0.0,000702.SZ,0.05,0.83,6.01,正虹科技,2023-11-22 09:47,6.06,5.98,6.06,6.01,2703983.0,4479
0.0,0.0,000623.SZ,0.00,0.00,16.46,吉林敖东,2023-11-22 09:47,16.51,16.45,16.46,16.46,12961485.0,7868
-0.040000000000000036,-0.006956521739130441,000782.SZ,-0.11,-1.91,5.75,美达股份,2023-11-22 09:47,5.74,5.62,5.64,5.71,21432397.0,37900
-0.020000000000000462,-0.002642007926023839,000633.SZ,0.03,0.40,7.57,合金投资,2023-11-22 09:46,7.65,7.55,7.60,7.55,10301662.0,13557
-0.010000000000000231,-0.0035842293906810864,000659.SZ,0.01,0.36,2.79,珠海中富,2023-11-22 09:46,2.80,2.77,2.80,2.78,5835538.0,20966
